Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
i5 eDrive40 Limousine - Option 1,"72.020,00 €",24 Monate,"17.833,51 €","579,92 €",5.000 km,"31.751,59 €"
i5 eDrive40 Limousine - Option 2,"72.020,00 €",27 Monate,"17.833,51 €","582,56 €",5.000 km,"33.562,63 €"
i5 eDrive40 Limousine - Option 3,"72.020,00 €",30 Monate,"17.833,51 €","589,70 €",5.000 km,"35.524,51 €"
i5 eDrive40 Limousine - Option 4,"72.020,00 €",33 Monate,"17.833,51 €","595,02 €",5.000 km,"37.469,17 €"
i5 eDrive40 Limousine - Option 5,"72.020,00 €",36 Monate,"17.833,51 €","599,00 €",5.000 km,"39.397,51 €"
i5 eDrive40 Limousine - Option 6,"72.020,00 €",42 Monate,"17.833,51 €","572,73 €",5.000 km,"41.888,17 €"
i5 eDrive40 Limousine - Option 7,"72.020,00 €",48 Monate,"17.833,51 €","572,29 €",5.000 km,"45.303,43 €"
