Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW X6 M60i xDrive - Option ('24', '5000')","124.570,00 €",24 Monate,"24.914,00 €","1.335,87 €",5.000 km,"56.974,88 €"
"BMW X6 M60i xDrive - Option ('24', '10000')","124.570,00 €",24 Monate,"24.914,00 €","1.384,87 €",10.000 km,"58.150,88 €"
"BMW X6 M60i xDrive - Option ('24', '15000')","124.570,00 €",24 Monate,"24.914,00 €","1.433,87 €",15.000 km,"59.326,88 €"
"BMW X6 M60i xDrive - Option ('24', '20000')","124.570,00 €",24 Monate,"24.914,00 €","1.482,87 €",20.000 km,"60.502,88 €"
"BMW X6 M60i xDrive - Option ('24', '25000')","124.570,00 €",24 Monate,"24.914,00 €","1.482,87 €",20.000 km,"60.502,88 €"
"BMW X6 M60i xDrive - Option ('24', '30000')","124.570,00 €",24 Monate,"24.914,00 €","1.629,88 €",30.000 km,"64.031,12 €"
