Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW i7 eDrive50 Limousine - Option ('30', '50000')","115.700,00 €",30 Monate,"28.649,80 €","1.624,93 €",50.000 km,"77.397,70 €"
"BMW i7 eDrive50 Limousine - Option ('30', '55000')","115.700,00 €",30 Monate,"28.649,80 €","1.698,65 €",55.000 km,"79.609,30 €"
"BMW i7 eDrive50 Limousine - Option ('30', '60000')","115.700,00 €",30 Monate,"28.649,80 €","1.772,36 €",60.000 km,"81.820,60 €"
"BMW i7 eDrive50 Limousine - Option ('30', '65000')","115.700,00 €",30 Monate,"28.649,80 €","1.846,08 €",65.000 km,"84.032,20 €"
"BMW i7 eDrive50 Limousine - Option ('30', '70000')","115.700,00 €",30 Monate,"28.649,80 €","1.919,79 €",70.000 km,"86.243,50 €"
"BMW i7 eDrive50 Limousine - Option ('30', '75000')","115.700,00 €",30 Monate,"28.649,80 €","1.956,65 €",75.000 km,"87.349,30 €"
"BMW i7 eDrive50 Limousine - Option ('30', '80000')","115.700,00 €",30 Monate,"28.649,80 €","1.993,51 €",80.000 km,"88.455,10 €"
"BMW i7 eDrive50 Limousine - Option ('33', '5000')","115.700,00 €",33 Monate,"28.649,80 €","927,55 €",5.000 km,"59.258,95 €"
"BMW i7 eDrive50 Limousine - Option ('33', '10000')","115.700,00 €",33 Monate,"28.649,80 €","960,91 €",10.000 km,"60.359,83 €"
"BMW i7 eDrive50 Limousine - Option ('33', '15000')","115.700,00 €",33 Monate,"28.649,80 €","1.027,63 €",15.000 km,"62.561,59 €"
"BMW i7 eDrive50 Limousine - Option ('33', '20000')","115.700,00 €",33 Monate,"28.649,80 €","1.060,99 €",20.000 km,"63.662,47 €"
"BMW i7 eDrive50 Limousine - Option ('33', '25000')","115.700,00 €",33 Monate,"28.649,80 €","1.127,70 €",25.000 km,"65.863,90 €"
"BMW i7 eDrive50 Limousine - Option ('33', '30000')","115.700,00 €",33 Monate,"28.649,80 €","1.194,42 €",30.000 km,"68.065,66 €"
"BMW i7 eDrive50 Limousine - Option ('33', '35000')","115.700,00 €",33 Monate,"28.649,80 €","1.327,86 €",35.000 km,"72.469,18 €"
"BMW i7 eDrive50 Limousine - Option ('33', '40000')","115.700,00 €",33 Monate,"28.649,80 €","1.427,93 €",40.000 km,"75.771,49 €"
"BMW i7 eDrive50 Limousine - Option ('33', '45000')","115.700,00 €",33 Monate,"28.649,80 €","1.494,65 €",45.000 km,"77.973,25 €"
"BMW i7 eDrive50 Limousine - Option ('33', '50000')","115.700,00 €",33 Monate,"28.649,80 €","1.594,73 €",50.000 km,"81.275,89 €"
"BMW i7 eDrive50 Limousine - Option ('33', '55000')","115.700,00 €",33 Monate,"28.649,80 €","1.661,45 €",55.000 km,"83.477,65 €"
"BMW i7 eDrive50 Limousine - Option ('33', '60000')","115.700,00 €",33 Monate,"28.649,80 €","1.728,17 €",60.000 km,"85.679,41 €"
"BMW i7 eDrive50 Limousine - Option ('33', '65000')","115.700,00 €",33 Monate,"28.649,80 €","1.794,88 €",65.000 km,"87.880,84 €"
"BMW i7 eDrive50 Limousine - Option ('33', '70000')","115.700,00 €",33 Monate,"28.649,80 €","1.861,60 €",70.000 km,"90.082,60 €"
"BMW i7 eDrive50 Limousine - Option ('33', '75000')","115.700,00 €",33 Monate,"28.649,80 €","1.928,32 €",75.000 km,"92.284,36 €"
"BMW i7 eDrive50 Limousine - Option ('33', '80000')","115.700,00 €",33 Monate,"28.649,80 €","1.995,04 €",80.000 km,"94.486,12 €"
"BMW i7 eDrive50 Limousine - Option ('36', '5000')","115.700,00 €",36 Monate,"28.649,80 €","899,00 €",5.000 km,"61.013,80 €"
"BMW i7 eDrive50 Limousine - Option ('36', '10000')","115.700,00 €",36 Monate,"28.649,80 €","959,89 €",10.000 km,"63.205,84 €"
"BMW i7 eDrive50 Limousine - Option ('36', '15000')","115.700,00 €",36 Monate,"28.649,80 €","1.020,78 €",15.000 km,"65.397,88 €"
"BMW i7 eDrive50 Limousine - Option ('36', '20000')","115.700,00 €",36 Monate,"28.649,80 €","1.051,22 €",20.000 km,"66.493,72 €"
"BMW i7 eDrive50 Limousine - Option ('36', '25000')","115.700,00 €",36 Monate,"28.649,80 €","1.112,11 €",25.000 km,"68.685,76 €"
"BMW i7 eDrive50 Limousine - Option ('36', '30000')","115.700,00 €",36 Monate,"28.649,80 €","1.203,44 €",30.000 km,"71.973,64 €"
"BMW i7 eDrive50 Limousine - Option ('36', '35000')","115.700,00 €",36 Monate,"28.649,80 €","1.325,21 €",35.000 km,"76.357,36 €"
"BMW i7 eDrive50 Limousine - Option ('36', '40000')","115.700,00 €",36 Monate,"28.649,80 €","1.386,10 €",40.000 km,"78.549,40 €"
"BMW i7 eDrive50 Limousine - Option ('36', '45000')","115.700,00 €",36 Monate,"28.649,80 €","1.477,43 €",45.000 km,"81.837,28 €"
"BMW i7 eDrive50 Limousine - Option ('36', '50000')","115.700,00 €",36 Monate,"28.649,80 €","1.538,32 €",50.000 km,"84.029,32 €"
"BMW i7 eDrive50 Limousine - Option ('36', '55000')","115.700,00 €",36 Monate,"28.649,80 €","1.599,21 €",55.000 km,"86.221,36 €"
"BMW i7 eDrive50 Limousine - Option ('36', '60000')","115.700,00 €",36 Monate,"28.649,80 €","1.660,10 €",60.000 km,"88.413,40 €"
"BMW i7 eDrive50 Limousine - Option ('36', '65000')","115.700,00 €",36 Monate,"28.649,80 €","1.720,99 €",65.000 km,"90.605,44 €"
"BMW i7 eDrive50 Limousine - Option ('36', '70000')","115.700,00 €",36 Monate,"28.649,80 €","1.781,87 €",70.000 km,"92.797,12 €"
"BMW i7 eDrive50 Limousine - Option ('36', '75000')","115.700,00 €",36 Monate,"28.649,80 €","1.842,76 €",75.000 km,"94.989,16 €"
"BMW i7 eDrive50 Limousine - Option ('36', '80000')","115.700,00 €",36 Monate,"28.649,80 €","1.903,65 €",80.000 km,"97.181,20 €"
"BMW i7 eDrive50 Limousine - Option ('42', '5000')","115.700,00 €",42 Monate,"28.649,80 €","905,19 €",5.000 km,"66.667,78 €"
"BMW i7 eDrive50 Limousine - Option ('42', '10000')","115.700,00 €",42 Monate,"28.649,80 €","956,92 €",10.000 km,"68.840,44 €"
"BMW i7 eDrive50 Limousine - Option ('42', '15000')","115.700,00 €",42 Monate,"28.649,80 €","1.008,65 €",15.000 km,"71.013,10 €"
"BMW i7 eDrive50 Limousine - Option ('42', '20000')","115.700,00 €",42 Monate,"28.649,80 €","1.034,51 €",20.000 km,"72.099,22 €"
"BMW i7 eDrive50 Limousine - Option ('42', '25000')","115.700,00 €",42 Monate,"28.649,80 €","1.086,24 €",25.000 km,"74.271,88 €"
"BMW i7 eDrive50 Limousine - Option ('42', '30000')","115.700,00 €",42 Monate,"28.649,80 €","1.215,56 €",30.000 km,"79.703,32 €"
"BMW i7 eDrive50 Limousine - Option ('42', '35000')","115.700,00 €",42 Monate,"28.649,80 €","1.293,16 €",35.000 km,"82.962,52 €"
"BMW i7 eDrive50 Limousine - Option ('42', '40000')","115.700,00 €",42 Monate,"28.649,80 €","1.370,75 €",40.000 km,"86.221,30 €"
"BMW i7 eDrive50 Limousine - Option ('42', '45000')","115.700,00 €",42 Monate,"28.649,80 €","1.422,48 €",45.000 km,"88.393,96 €"
"BMW i7 eDrive50 Limousine - Option ('42', '50000')","115.700,00 €",42 Monate,"28.649,80 €","1.500,07 €",50.000 km,"91.652,74 €"
"BMW i7 eDrive50 Limousine - Option ('42', '55000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('42', '60000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('42', '65000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('42', '70000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('42', '75000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('42', '80000')","115.700,00 €",42 Monate,"28.649,80 €","1.551,80 €",55.000 km,"93.825,40 €"
"BMW i7 eDrive50 Limousine - Option ('48', '5000')","115.700,00 €",48 Monate,"28.649,80 €","928,87 €",5.000 km,"73.235,56 €"
"BMW i7 eDrive50 Limousine - Option ('48', '10000')","115.700,00 €",48 Monate,"28.649,80 €","973,05 €",10.000 km,"75.356,20 €"
"BMW i7 eDrive50 Limousine - Option ('48', '15000')","115.700,00 €",48 Monate,"28.649,80 €","1.039,33 €",15.000 km,"78.537,64 €"
"BMW i7 eDrive50 Limousine - Option ('48', '20000')","115.700,00 €",48 Monate,"28.649,80 €","1.061,42 €",20.000 km,"79.597,96 €"
"BMW i7 eDrive50 Limousine - Option ('48', '25000')","115.700,00 €",48 Monate,"28.649,80 €","1.127,70 €",25.000 km,"82.779,40 €"
"BMW i7 eDrive50 Limousine - Option ('48', '30000')","115.700,00 €",48 Monate,"28.649,80 €","1.216,06 €",30.000 km,"87.020,68 €"
"BMW i7 eDrive50 Limousine - Option ('48', '35000')","115.700,00 €",48 Monate,"28.649,80 €","1.282,34 €",35.000 km,"90.202,12 €"
"BMW i7 eDrive50 Limousine - Option ('48', '40000')","115.700,00 €",48 Monate,"28.649,80 €","1.348,61 €",40.000 km,"93.383,08 €"
"BMW i7 eDrive50 Limousine - Option ('48', '45000')","115.700,00 €",48 Monate,"28.649,80 €","1.414,89 €",45.000 km,"96.564,52 €"
"BMW i7 eDrive50 Limousine - Option ('48', '50000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '55000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '60000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '65000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '70000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '75000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
"BMW i7 eDrive50 Limousine - Option ('48', '80000')","115.700,00 €",48 Monate,"28.649,80 €","1.459,07 €",50.000 km,"98.685,16 €"
