Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX M70 xDrive - Option ('30', '60000')","128.650,00 €",30 Monate,"22.792,54 €","2.347,68 €",60.000 km,"93.222,94 €"
"BMW iX M70 xDrive - Option ('30', '65000')","128.650,00 €",30 Monate,"22.792,54 €","2.428,58 €",65.000 km,"95.649,94 €"
"BMW iX M70 xDrive - Option ('30', '70000')","128.650,00 €",30 Monate,"22.792,54 €","2.509,48 €",70.000 km,"98.076,94 €"
"BMW iX M70 xDrive - Option ('30', '75000')","128.650,00 €",30 Monate,"22.792,54 €","2.549,93 €",75.000 km,"99.290,44 €"
"BMW iX M70 xDrive - Option ('30', '80000')","128.650,00 €",30 Monate,"22.792,54 €","2.630,83 €",80.000 km,"101.717,44 €"
"BMW iX M70 xDrive - Option ('33', '5000')","128.650,00 €",33 Monate,"22.792,54 €","1.392,18 €",5.000 km,"68.734,48 €"
"BMW iX M70 xDrive - Option ('33', '10000')","128.650,00 €",33 Monate,"22.792,54 €","1.465,31 €",10.000 km,"71.147,77 €"
"BMW iX M70 xDrive - Option ('33', '15000')","128.650,00 €",33 Monate,"22.792,54 €","1.501,87 €",15.000 km,"72.354,25 €"
"BMW iX M70 xDrive - Option ('33', '20000')","128.650,00 €",33 Monate,"22.792,54 €","1.538,43 €",20.000 km,"73.560,73 €"
"BMW iX M70 xDrive - Option ('33', '25000')","128.650,00 €",33 Monate,"22.792,54 €","1.611,56 €",25.000 km,"75.974,02 €"
"BMW iX M70 xDrive - Option ('33', '30000')","128.650,00 €",33 Monate,"22.792,54 €","1.721,25 €",30.000 km,"79.593,79 €"
"BMW iX M70 xDrive - Option ('33', '35000')","128.650,00 €",33 Monate,"22.792,54 €","1.721,25 €",30.000 km,"79.593,79 €"
"BMW iX M70 xDrive - Option ('33', '40000')","128.650,00 €",33 Monate,"22.792,54 €","1.977,20 €",40.000 km,"88.040,14 €"
"BMW iX M70 xDrive - Option ('33', '45000')","128.650,00 €",33 Monate,"22.792,54 €","2.050,32 €",45.000 km,"90.453,10 €"
"BMW iX M70 xDrive - Option ('33', '50000')","128.650,00 €",33 Monate,"22.792,54 €","2.123,45 €",50.000 km,"92.866,39 €"
"BMW iX M70 xDrive - Option ('33', '55000')","128.650,00 €",33 Monate,"22.792,54 €","2.196,58 €",55.000 km,"95.279,68 €"
