date,website,model,full price
2025-04-07 07:40:07.971382,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 53.300,00 €"
2025-04-07 07:40:08.045415,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 53.300,00 €"
2025-04-07 07:40:08.126086,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 53.300,00 €"
2025-04-07 07:40:08.245126,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 53.300,00 €"
2025-04-07 07:40:08.298496,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 53.300,00 €"
2025-04-07 07:40:08.397492,https://www.bmw.de/de/neufahrzeuge.html,4 er,"Ab 60.800,00 €"
2025-04-07 07:40:08.461511,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 60.800,00 €"
2025-04-07 07:40:08.518511,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 60.800,00 €"
2025-04-07 07:40:08.605993,https://www.bmw.de/de/neufahrzeuge.html,3 er,"Ab 46.600,00 €"
2025-04-07 07:40:08.677500,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 46.600,00 €"
2025-04-07 07:40:08.729032,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 46.600,00 €"
2025-04-07 07:40:08.830520,https://www.bmw.de/de/neufahrzeuge.html,3 er,"Ab 47.900,00 €"
2025-04-07 07:40:08.901964,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 47.900,00 €"
2025-04-07 07:40:08.955906,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 47.900,00 €"
2025-04-07 07:40:09.039576,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 45.700,00 €"
2025-04-07 07:40:09.086893,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 45.700,00 €"
2025-04-07 07:40:09.128201,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 45.700,00 €"
2025-04-07 07:40:09.194704,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 36.400,00 €"
2025-04-07 07:40:09.242247,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 36.400,00 €"
2025-04-07 07:40:09.299982,https://www.bmw.de/de/neufahrzeuge.html,2 er,"Ab 36.200,00 €"
2025-04-07 07:40:09.350478,https://www.bmw.de/de/neufahrzeuge.html,1 er,"Ab 32.900,00 €"
2025-04-07 07:40:09.385143,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 32.900,00 €"
2025-04-07 07:40:09.439684,https://www.bmw.de/de/neufahrzeuge.html,Z4,"Ab 50.700,00 €"
2025-04-07 07:40:09.476631,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 50.700,00 €"
2025-04-07 07:40:09.527389,https://www.bmw.de/de/neufahrzeuge.html,X7,"Ab 107.600,00 €"
2025-04-07 07:40:09.574352,https://www.bmw.de/de/neufahrzeuge.html,X6,"Ab 97.500,00 €"
2025-04-07 07:40:09.618137,https://www.bmw.de/de/neufahrzeuge.html,X5,"Ab 89.900,00 €"
2025-04-07 07:40:09.671263,https://www.bmw.de/de/neufahrzeuge.html,X4,"Ab 63.000,00 €"
2025-04-07 07:40:09.708108,https://www.bmw.de/de/neufahrzeuge.html,N/A,"Ab 63.000,00 €"
2025-04-07 07:40:09.758303,https://www.bmw.de/de/neufahrzeuge.html,X3,"Ab 61.900,00 €"
2025-04-07 07:40:09.804739,https://www.bmw.de/de/neufahrzeuge.html,X2,"Ab 48.700,00 €"
