"_STATUS","Position","_PREV_Position","Vehicle Name","Vehicle Type","Availability","Engine Type","Transmission","Power","Color","Mileage","Registration Date","Monthly Rate","Vehicle Price","Down Payment","Loan Amount","Final Payment","Annual Interest Rate","CO2 Emissions","Details Link","Vehicle Image","_PREV_Vehicle Name","_PREV_Vehicle Type","_PREV_Availability","_PREV_Engine Type","_PREV_Transmission","_PREV_Power","_PREV_Color","_PREV_Mileage","_PREV_Registration Date","_PREV_Monthly Rate","_PREV_Vehicle Price","_PREV_Down Payment","_PREV_Loan Amount","_PREV_Final Payment","_PREV_Annual Interest Rate","_PREV_CO2 Emissions","_PREV_Details Link","_PREV_Vehicle Image"
"CHANGED",10,15,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Vorführfahrzeug",,"Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage","861 Km","01/2025","587 €","49.790 €","9.958 €","39.832 €","24.895 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375b17e9b9ca1122567752","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",11,9,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Magnetic Grey",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375af1e9b9ca112255d9de","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/b2e6496cfd10c52cc9934ed9cf1693d4f_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",12,7,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Tageszulassung","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Schwarz / Abyss Black","10 Km","01/2025","588 €","49.880 €","9.976 €","39.904 €","24.940 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67375998e9b9ca11225101ee","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",13,1,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Schwarz / Abyss Black",,,"420 €","49.990 €","9.998 €","39.992 €","31.720 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/6737593ce9b9ca11224fcf32","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/f89c3c857bd2893f0fe1077674ef49518_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",14,8,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Cyber Sage",,,"441 €","50.990 €","10.198 €","40.792 €","31.820 €","6.49 %","158 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/673758e4e9b9ca11224e9f4e","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/864a66741548449148be71082e3586891_ori_small.jpg",,,,,,,,,,,,,,,,,,
"CHANGED",15,16,"Hyundai SANTA FE HEV 4WD SIGNATURE Intro 20"" SR +18"" WR","Neufahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","158 kW (215 Ps)","Grau / Magnetic Grey",,,"404 €","49.990 €","9.998 €","39.992 €","32.320 €","6.49 %","160 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/670cd9deaff81bed8e638271","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/5f4295227621061418765f77c8af8c2b0_ori_small.jpg",,,,,,,,,,,,,,,,,,
"ADDED",16,,"Hyundai i20 1.0 Turbo DCT Trend Mod. 25 Navi Kamera Alu","Neufahrzeug",,"Benzin","Automatik","74 kW (101 Ps)","Rot / Dragon Red",,,"231 €","22.890 €","4.578 €","18.312 €","13.010 €","6.49 %","122 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efd37e8aafb529779c9604","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/8ee1af3d90a61bc21bbeea59a161890b_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,17,,,,,,,,,,,,,,,,,,,"Hyundai i10 NEUES Modell MY25 1.0 Select Klima Navi DAB","Neufahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","49 kW (67 Ps)","Grün / Mangrove Green",,,"174 €","15.890 €","3.178 €","12.712 €","8.495 €","6.49 %","110 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/6763ca9cf108aaee6f1fc30f","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/5eb10a81d67546e4cbc24b073357d69e1_ori_small.jpg"
"ADDED",17,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Schwarz / Phantom Black","17.617 Km","03/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efc81c8aafb5297798b28b","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/df94788bdc4b8d3ba329729d9aa82ea3_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,18,,,,,,,,,,,,,,,,,,,"Hyundai KONA Elektro MY25 65 kWh Trend Navi LED","Neufahrzeug","Sofort verfügbar","Elektro","Automatik","160 kW (218 Ps)","Blau / Sailing Blue",,,"445 €","41.930 €","8.386 €","33.544 €","22.920 €","6.49 %","0 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67a089d79e7b0d14a13b74ea","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/21f313611e3a1666d103ffc95b9d84784_ori_small.jpg"
